"commodity","state","time","country","total_exports_value"
"111 Agricultural Products","Alabama","2014","World Total","310,608,467"
"111 Agricultural Products","Alabama","2015","World Total","293,154,165"
"111 Agricultural Products","Alabama","2016","World Total","339,912,537"
"111 Agricultural Products","Alabama","2017","World Total","261,686,577"
"111 Agricultural Products","Alabama","2018","World Total","185,129,537"
"111 Agricultural Products","Alaska","2014","World Total","51,124"
"111 Agricultural Products","Alaska","2015","World Total","220,717"
"111 Agricultural Products","Alaska","2016","World Total","1,105,483"
"111 Agricultural Products","Alaska","2017","World Total","1,012,608"
"111 Agricultural Products","Alaska","2018","World Total","401,729"
"111 Agricultural Products","Arizona","2014","World Total","744,476,659"
"111 Agricultural Products","Arizona","2015","World Total","797,690,727"
"111 Agricultural Products","Arizona","2016","World Total","805,590,115"
"111 Agricultural Products","Arizona","2017","World Total","874,171,717"
"111 Agricultural Products","Arizona","2018","World Total","962,138,234"
"111 Agricultural Products","Arkansas","2014","World Total","161,279,838"
"111 Agricultural Products","Arkansas","2015","World Total","201,602,126"
"111 Agricultural Products","Arkansas","2016","World Total","204,118,305"
"111 Agricultural Products","Arkansas","2017","World Total","192,208,224"
"111 Agricultural Products","Arkansas","2018","World Total","263,421,370"
"111 Agricultural Products","California","2014","World Total","13,588,416,677"
"111 Agricultural Products","California","2015","World Total","13,289,477,933"
"111 Agricultural Products","California","2016","World Total","13,052,824,855"
"111 Agricultural Products","California","2017","World Total","13,681,122,714"
"111 Agricultural Products","California","2018","World Total","13,508,255,902"
"111 Agricultural Products","Colorado","2014","World Total","77,586,069"
"111 Agricultural Products","Colorado","2015","World Total","60,138,637"
"111 Agricultural Products","Colorado","2016","World Total","66,620,020"
"111 Agricultural Products","Colorado","2017","World Total","109,359,018"
"111 Agricultural Products","Colorado","2018","World Total","97,319,484"
"111 Agricultural Products","Connecticut","2014","World Total","59,496,007"
"111 Agricultural Products","Connecticut","2015","World Total","53,685,471"
"111 Agricultural Products","Connecticut","2016","World Total","47,321,794"
"111 Agricultural Products","Connecticut","2017","World Total","40,795,736"
"111 Agricultural Products","Connecticut","2018","World Total","46,995,882"
"111 Agricultural Products","Delaware","2014","World Total","183,766,734"
"111 Agricultural Products","Delaware","2015","World Total","183,884,514"
"111 Agricultural Products","Delaware","2016","World Total","190,475,936"
"111 Agricultural Products","Delaware","2017","World Total","187,279,898"
"111 Agricultural Products","Delaware","2018","World Total","178,815,724"
