state,time,commodity,country,total_import_values
Alabama,2014,111 Agricultural Products,World Total,"47,832,567"
Alabama,2014,112 Livestock & Livestock Products,World Total,"2,681,123"
Alabama,2014,"113 Forestry Products, Nesoi",World Total,"35,971,982"
Alabama,2014,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"2,896,163"
Alabama,2014,211 Oil & Gas,World Total,"2,645,631,902"
Alabama,2014,212 Minerals & Ores,World Total,"380,546,719"
Alabama,2014,311 Food & Kindred Products,World Total,"119,993,818"
Alabama,2014,312 Beverages & Tobacco Products,World Total,"28,005,658"
Alabama,2014,313 Textiles & Fabrics,World Total,"118,557,703"
Alabama,2014,314 Textile Mill Products,World Total,"93,490,103"
Alabama,2014,315 Apparel & Accessories,World Total,"437,344,153"
Alabama,2014,316 Leather & Allied Products,World Total,"198,374,957"
Alabama,2014,321 Wood Products,World Total,"194,088,963"
Alabama,2014,322 Paper,World Total,"103,951,520"
Alabama,2014,"323 Printed Matter And Related Products, Nesoi",World Total,"27,967,722"
Alabama,2014,324 Petroleum & Coal Products,World Total,"42,091,555"
Alabama,2014,325 Chemicals,World Total,"1,529,231,831"
Alabama,2014,326 Plastics & Rubber Products,World Total,"572,231,140"
Alabama,2014,327 Nonmetallic Mineral Products,World Total,"197,533,091"
Alabama,2014,331 Primary Metal Mfg,World Total,"1,849,443,133"
Alabama,2014,"332 Fabricated Metal Products, Nesoi",World Total,"1,259,064,050"
Alabama,2014,"333 Machinery, Except Electrical",World Total,"2,068,227,876"
Alabama,2014,334 Computer & Electronic Products,World Total,"1,484,885,346"
Alabama,2014,"335 Electrical Equipment, Appliances & Components",World Total,"858,324,835"
Alabama,2014,336 Transportation Equipment,World Total,"6,831,709,811"
Alabama,2014,337 Furniture & Fixtures,World Total,"240,670,740"
Alabama,2014,339 Miscellaneous Manufactured Commodities,World Total,"309,891,862"
Alabama,2014,910 Waste And Scrap,World Total,"247,163,959"
Alabama,2014,930 Used Or Second-hand Merchandise,World Total,"4,924,272"
Alabama,2014,980 Goods Returned (exports For Canada Only),World Total,"303,362,510"
Alabama,2014,990 Other Special Classification Provisions,World Total,"5,709,816"
Alabama,2015,111 Agricultural Products,World Total,"27,395,889"
Alabama,2015,112 Livestock & Livestock Products,World Total,"3,113,082"
Alabama,2015,"113 Forestry Products, Nesoi",World Total,"25,995,695"
Alabama,2015,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"2,413,831"
Alabama,2015,211 Oil & Gas,World Total,"1,817,073,036"
Alabama,2015,212 Minerals & Ores,World Total,"294,627,907"
Alabama,2015,311 Food & Kindred Products,World Total,"125,053,610"
Alabama,2015,312 Beverages & Tobacco Products,World Total,"32,646,259"
Alabama,2015,313 Textiles & Fabrics,World Total,"122,067,746"
Alabama,2015,314 Textile Mill Products,World Total,"104,543,579"
Alabama,2015,315 Apparel & Accessories,World Total,"543,881,066"
Alabama,2015,316 Leather & Allied Products,World Total,"209,930,798"
Alabama,2015,321 Wood Products,World Total,"175,869,018"
Alabama,2015,322 Paper,World Total,"100,584,510"
Alabama,2015,"323 Printed Matter And Related Products, Nesoi",World Total,"29,531,678"
Alabama,2015,324 Petroleum & Coal Products,World Total,"193,742,807"
Alabama,2015,325 Chemicals,World Total,"1,358,245,248"
Alabama,2015,326 Plastics & Rubber Products,World Total,"706,984,638"
Alabama,2015,327 Nonmetallic Mineral Products,World Total,"167,746,931"
Alabama,2015,331 Primary Metal Mfg,World Total,"1,276,739,153"
Alabama,2015,"332 Fabricated Metal Products, Nesoi",World Total,"1,325,447,667"
Alabama,2015,"333 Machinery, Except Electrical",World Total,"2,122,311,025"
Alabama,2015,334 Computer & Electronic Products,World Total,"1,599,744,545"
Alabama,2015,"335 Electrical Equipment, Appliances & Components",World Total,"982,973,687"
Alabama,2015,336 Transportation Equipment,World Total,"7,464,242,172"
Alabama,2015,337 Furniture & Fixtures,World Total,"282,880,535"
Alabama,2015,339 Miscellaneous Manufactured Commodities,World Total,"349,335,158"
Alabama,2015,910 Waste And Scrap,World Total,"191,483,311"
Alabama,2015,930 Used Or Second-hand Merchandise,World Total,"8,961,592"
Alabama,2015,980 Goods Returned (exports For Canada Only),World Total,"254,597,162"
Alabama,2015,990 Other Special Classification Provisions,World Total,"326,197"
Alabama,2016,111 Agricultural Products,World Total,"24,414,819"
Alabama,2016,112 Livestock & Livestock Products,World Total,"3,774,395"
Alabama,2016,"113 Forestry Products, Nesoi",World Total,"20,283,528"
Alabama,2016,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"2,511,424"
Alabama,2016,211 Oil & Gas,World Total,"1,896,176,423"
Alabama,2016,212 Minerals & Ores,World Total,"187,483,692"
Alabama,2016,311 Food & Kindred Products,World Total,"165,420,233"
Alabama,2016,312 Beverages & Tobacco Products,World Total,"32,122,422"
Alabama,2016,313 Textiles & Fabrics,World Total,"113,969,853"
Alabama,2016,314 Textile Mill Products,World Total,"135,279,171"
Alabama,2016,315 Apparel & Accessories,World Total,"828,146,417"
Alabama,2016,316 Leather & Allied Products,World Total,"255,277,308"
Alabama,2016,321 Wood Products,World Total,"195,214,002"
Alabama,2016,322 Paper,World Total,"108,075,357"
Alabama,2016,"323 Printed Matter And Related Products, Nesoi",World Total,"23,447,721"
Alabama,2016,324 Petroleum & Coal Products,World Total,"243,441,866"
Alabama,2016,325 Chemicals,World Total,"1,220,754,153"
Alabama,2016,326 Plastics & Rubber Products,World Total,"694,422,746"
Alabama,2016,327 Nonmetallic Mineral Products,World Total,"210,939,811"
Alabama,2016,331 Primary Metal Mfg,World Total,"1,284,646,555"
Alabama,2016,"332 Fabricated Metal Products, Nesoi",World Total,"1,339,844,616"
Alabama,2016,"333 Machinery, Except Electrical",World Total,"1,987,654,810"
Alabama,2016,334 Computer & Electronic Products,World Total,"1,586,331,809"
Alabama,2016,"335 Electrical Equipment, Appliances & Components",World Total,"932,071,367"
Alabama,2016,336 Transportation Equipment,World Total,"7,543,501,811"
Alabama,2016,337 Furniture & Fixtures,World Total,"299,528,747"
Alabama,2016,339 Miscellaneous Manufactured Commodities,World Total,"322,409,957"
Alabama,2016,910 Waste And Scrap,World Total,"157,346,346"
Alabama,2016,930 Used Or Second-hand Merchandise,World Total,"11,800,835"
Alabama,2016,980 Goods Returned (exports For Canada Only),World Total,"303,525,425"
