commodity,state,time,country,total_import_values
111 Agricultural Products,Alabama,2014,World Total,"47,832,567"
111 Agricultural Products,Alabama,2015,World Total,"27,395,889"
111 Agricultural Products,Alabama,2016,World Total,"24,414,819"
111 Agricultural Products,Alabama,2017,World Total,"28,139,739"
111 Agricultural Products,Alabama,2018,World Total,"18,385,027"
111 Agricultural Products,Alaska,2014,World Total,"1,282,100"
111 Agricultural Products,Alaska,2015,World Total,"1,120,671"
111 Agricultural Products,Alaska,2016,World Total,"1,571,568"
111 Agricultural Products,Alaska,2017,World Total,"1,363,320"
111 Agricultural Products,Alaska,2018,World Total,"1,454,696"
111 Agricultural Products,Arizona,2014,World Total,"2,367,904,518"
111 Agricultural Products,Arizona,2015,World Total,"2,190,405,317"
111 Agricultural Products,Arizona,2016,World Total,"2,461,470,432"
111 Agricultural Products,Arizona,2017,World Total,"2,236,240,325"
111 Agricultural Products,Arizona,2018,World Total,"2,413,366,977"
111 Agricultural Products,Arkansas,2014,World Total,"19,971,810"
111 Agricultural Products,Arkansas,2015,World Total,"41,627,548"
111 Agricultural Products,Arkansas,2016,World Total,"51,061,667"
111 Agricultural Products,Arkansas,2017,World Total,"34,091,672"
111 Agricultural Products,Arkansas,2018,World Total,"69,494,701"
111 Agricultural Products,California,2014,World Total,"7,023,796,209"
111 Agricultural Products,California,2015,World Total,"7,575,355,432"
111 Agricultural Products,California,2016,World Total,"8,067,396,733"
111 Agricultural Products,California,2017,World Total,"9,067,694,072"
111 Agricultural Products,California,2018,World Total,"9,309,939,708"
111 Agricultural Products,Colorado,2014,World Total,"72,406,971"
111 Agricultural Products,Colorado,2015,World Total,"83,176,176"
111 Agricultural Products,Colorado,2016,World Total,"103,302,708"
111 Agricultural Products,Colorado,2017,World Total,"97,461,454"
111 Agricultural Products,Colorado,2018,World Total,"108,506,195"
111 Agricultural Products,Connecticut,2014,World Total,"179,874,539"
111 Agricultural Products,Connecticut,2015,World Total,"199,158,824"
111 Agricultural Products,Connecticut,2016,World Total,"218,694,889"
111 Agricultural Products,Connecticut,2017,World Total,"222,255,276"
111 Agricultural Products,Connecticut,2018,World Total,"210,423,167"
111 Agricultural Products,Delaware,2014,World Total,"854,407,368"
111 Agricultural Products,Delaware,2015,World Total,"793,661,746"
111 Agricultural Products,Delaware,2016,World Total,"859,594,854"
111 Agricultural Products,Delaware,2017,World Total,"571,238,810"
111 Agricultural Products,Delaware,2018,World Total,"567,267,575"
111 Agricultural Products,Dist of Columbia,2014,World Total,"4,352,750"
111 Agricultural Products,Dist of Columbia,2015,World Total,"5,069,010"
111 Agricultural Products,Dist of Columbia,2016,World Total,"2,464,550"
111 Agricultural Products,Dist of Columbia,2017,World Total,"6,676,998"
111 Agricultural Products,Dist of Columbia,2018,World Total,"3,901,795"
111 Agricultural Products,Florida,2014,World Total,"3,529,509,375"
111 Agricultural Products,Florida,2015,World Total,"3,562,895,281"
111 Agricultural Products,Florida,2016,World Total,"4,138,528,289"
111 Agricultural Products,Florida,2017,World Total,"4,882,900,558"
111 Agricultural Products,Florida,2018,World Total,"4,890,335,383"
111 Agricultural Products,Georgia,2014,World Total,"160,219,991"
111 Agricultural Products,Georgia,2015,World Total,"185,593,383"
111 Agricultural Products,Georgia,2016,World Total,"206,305,495"
111 Agricultural Products,Georgia,2017,World Total,"283,157,330"
111 Agricultural Products,Georgia,2018,World Total,"358,713,622"
111 Agricultural Products,Hawaii,2014,World Total,"15,414,383"
111 Agricultural Products,Hawaii,2015,World Total,"12,406,701"
111 Agricultural Products,Hawaii,2016,World Total,"18,751,341"
111 Agricultural Products,Hawaii,2017,World Total,"20,127,038"
111 Agricultural Products,Hawaii,2018,World Total,"20,609,295"
111 Agricultural Products,Idaho,2014,World Total,"89,704,480"
111 Agricultural Products,Idaho,2015,World Total,"105,601,658"
111 Agricultural Products,Idaho,2016,World Total,"110,811,043"
111 Agricultural Products,Idaho,2017,World Total,"113,618,661"
111 Agricultural Products,Idaho,2018,World Total,"108,875,753"
111 Agricultural Products,Illinois,2014,World Total,"647,982,537"
111 Agricultural Products,Illinois,2015,World Total,"530,704,038"
111 Agricultural Products,Illinois,2016,World Total,"426,971,972"
111 Agricultural Products,Illinois,2017,World Total,"505,879,816"
111 Agricultural Products,Illinois,2018,World Total,"611,980,589"
111 Agricultural Products,Indiana,2014,World Total,"146,472,181"
111 Agricultural Products,Indiana,2015,World Total,"123,388,875"
111 Agricultural Products,Indiana,2016,World Total,"93,323,541"
111 Agricultural Products,Indiana,2017,World Total,"112,974,144"
111 Agricultural Products,Indiana,2018,World Total,"83,933,570"
111 Agricultural Products,Iowa,2014,World Total,"372,126,237"
111 Agricultural Products,Iowa,2015,World Total,"257,156,549"
111 Agricultural Products,Iowa,2016,World Total,"226,147,402"
111 Agricultural Products,Iowa,2017,World Total,"183,982,752"
111 Agricultural Products,Iowa,2018,World Total,"209,980,382"
111 Agricultural Products,Kansas,2014,World Total,"56,525,307"
111 Agricultural Products,Kansas,2015,World Total,"15,854,343"
111 Agricultural Products,Kansas,2016,World Total,"27,023,044"
111 Agricultural Products,Kansas,2017,World Total,"32,986,882"
111 Agricultural Products,Kansas,2018,World Total,"29,522,716"
111 Agricultural Products,Kentucky,2014,World Total,"72,031,156"
111 Agricultural Products,Kentucky,2015,World Total,"71,359,444"
111 Agricultural Products,Kentucky,2016,World Total,"103,710,936"
111 Agricultural Products,Kentucky,2017,World Total,"95,416,352"
111 Agricultural Products,Kentucky,2018,World Total,"80,836,741"
111 Agricultural Products,Louisiana,2014,World Total,"840,911,109"
111 Agricultural Products,Louisiana,2015,World Total,"700,349,091"
111 Agricultural Products,Louisiana,2016,World Total,"762,996,514"
111 Agricultural Products,Louisiana,2017,World Total,"803,330,625"
111 Agricultural Products,Louisiana,2018,World Total,"708,237,029"
111 Agricultural Products,Maine,2014,World Total,"45,164,854"
111 Agricultural Products,Maine,2015,World Total,"49,238,475"
111 Agricultural Products,Maine,2016,World Total,"54,010,902"
111 Agricultural Products,Maine,2017,World Total,"47,567,863"
111 Agricultural Products,Maine,2018,World Total,"45,108,645"
111 Agricultural Products,Maryland,2014,World Total,"576,813,343"
111 Agricultural Products,Maryland,2015,World Total,"746,195,689"
111 Agricultural Products,Maryland,2016,World Total,"721,328,323"
111 Agricultural Products,Maryland,2017,World Total,"772,600,552"
111 Agricultural Products,Maryland,2018,World Total,"832,588,255"
111 Agricultural Products,Massachusetts,2014,World Total,"201,885,219"
111 Agricultural Products,Massachusetts,2015,World Total,"218,258,699"
111 Agricultural Products,Massachusetts,2016,World Total,"209,912,751"
111 Agricultural Products,Massachusetts,2017,World Total,"209,662,938"
111 Agricultural Products,Massachusetts,2018,World Total,"199,466,415"
111 Agricultural Products,Michigan,2014,World Total,"604,680,995"
111 Agricultural Products,Michigan,2015,World Total,"619,055,704"
111 Agricultural Products,Michigan,2016,World Total,"802,909,575"
111 Agricultural Products,Michigan,2017,World Total,"940,636,523"
111 Agricultural Products,Michigan,2018,World Total,"1,005,584,942"
111 Agricultural Products,Minnesota,2014,World Total,"725,358,948"
111 Agricultural Products,Minnesota,2015,World Total,"589,243,829"
111 Agricultural Products,Minnesota,2016,World Total,"480,116,301"
111 Agricultural Products,Minnesota,2017,World Total,"532,807,660"
111 Agricultural Products,Minnesota,2018,World Total,"541,367,389"
111 Agricultural Products,Mississippi,2014,World Total,"253,554,720"
111 Agricultural Products,Mississippi,2015,World Total,"185,611,706"
111 Agricultural Products,Mississippi,2016,World Total,"214,809,390"
111 Agricultural Products,Mississippi,2017,World Total,"194,118,370"
111 Agricultural Products,Mississippi,2018,World Total,"184,069,294"
111 Agricultural Products,Missouri,2014,World Total,"242,808,878"
111 Agricultural Products,Missouri,2015,World Total,"193,672,266"
111 Agricultural Products,Missouri,2016,World Total,"156,202,813"
111 Agricultural Products,Missouri,2017,World Total,"243,179,055"
111 Agricultural Products,Missouri,2018,World Total,"242,418,805"
111 Agricultural Products,Montana,2014,World Total,"166,598,499"
111 Agricultural Products,Montana,2015,World Total,"105,239,208"
111 Agricultural Products,Montana,2016,World Total,"51,607,383"
111 Agricultural Products,Montana,2017,World Total,"59,630,296"
111 Agricultural Products,Montana,2018,World Total,"46,643,368"
111 Agricultural Products,Nebraska,2014,World Total,"164,495,963"
111 Agricultural Products,Nebraska,2015,World Total,"71,825,008"
111 Agricultural Products,Nebraska,2016,World Total,"52,068,577"
111 Agricultural Products,Nebraska,2017,World Total,"70,585,204"
111 Agricultural Products,Nebraska,2018,World Total,"67,431,356"
111 Agricultural Products,Nevada,2014,World Total,"12,644,126"
111 Agricultural Products,Nevada,2015,World Total,"12,299,337"
111 Agricultural Products,Nevada,2016,World Total,"12,553,819"
111 Agricultural Products,Nevada,2017,World Total,"11,241,462"
111 Agricultural Products,Nevada,2018,World Total,"12,572,164"
111 Agricultural Products,New Hampshire,2014,World Total,"26,056,705"
111 Agricultural Products,New Hampshire,2015,World Total,"28,185,976"
111 Agricultural Products,New Hampshire,2016,World Total,"33,073,081"
111 Agricultural Products,New Hampshire,2017,World Total,"31,211,294"
111 Agricultural Products,New Hampshire,2018,World Total,"33,048,606"
111 Agricultural Products,New Jersey,2014,World Total,"2,714,017,299"
111 Agricultural Products,New Jersey,2015,World Total,"2,850,639,396"
111 Agricultural Products,New Jersey,2016,World Total,"2,719,380,898"
111 Agricultural Products,New Jersey,2017,World Total,"2,752,606,454"
111 Agricultural Products,New Jersey,2018,World Total,"2,682,477,952"
111 Agricultural Products,New Mexico,2014,World Total,"110,492,709"
111 Agricultural Products,New Mexico,2015,World Total,"74,194,453"
111 Agricultural Products,New Mexico,2016,World Total,"94,808,062"
111 Agricultural Products,New Mexico,2017,World Total,"76,430,533"
111 Agricultural Products,New Mexico,2018,World Total,"71,610,150"
111 Agricultural Products,New York,2014,World Total,"1,503,317,014"
111 Agricultural Products,New York,2015,World Total,"1,697,302,204"
111 Agricultural Products,New York,2016,World Total,"1,813,266,098"
111 Agricultural Products,New York,2017,World Total,"1,836,212,522"
111 Agricultural Products,New York,2018,World Total,"1,776,559,092"
111 Agricultural Products,North Carolina,2014,World Total,"731,469,210"
111 Agricultural Products,North Carolina,2015,World Total,"635,574,570"
111 Agricultural Products,North Carolina,2016,World Total,"709,367,460"
111 Agricultural Products,North Carolina,2017,World Total,"651,133,459"
111 Agricultural Products,North Carolina,2018,World Total,"636,703,458"
111 Agricultural Products,North Dakota,2014,World Total,"900,677,640"
111 Agricultural Products,North Dakota,2015,World Total,"563,491,701"
111 Agricultural Products,North Dakota,2016,World Total,"332,190,352"
111 Agricultural Products,North Dakota,2017,World Total,"375,552,735"
111 Agricultural Products,North Dakota,2018,World Total,"353,687,345"
111 Agricultural Products,Ohio,2014,World Total,"253,083,842"
111 Agricultural Products,Ohio,2015,World Total,"246,837,847"
111 Agricultural Products,Ohio,2016,World Total,"261,097,473"
111 Agricultural Products,Ohio,2017,World Total,"246,943,618"
111 Agricultural Products,Ohio,2018,World Total,"270,977,307"
111 Agricultural Products,Oklahoma,2014,World Total,"17,005,757"
111 Agricultural Products,Oklahoma,2015,World Total,"11,196,914"
111 Agricultural Products,Oklahoma,2016,World Total,"7,832,266"
111 Agricultural Products,Oklahoma,2017,World Total,"11,755,854"
111 Agricultural Products,Oklahoma,2018,World Total,"10,101,796"
111 Agricultural Products,Oregon,2014,World Total,"315,169,526"
111 Agricultural Products,Oregon,2015,World Total,"246,724,830"
111 Agricultural Products,Oregon,2016,World Total,"237,009,733"
111 Agricultural Products,Oregon,2017,World Total,"278,926,358"
111 Agricultural Products,Oregon,2018,World Total,"256,701,146"
111 Agricultural Products,Pennsylvania,2014,World Total,"1,184,555,369"
111 Agricultural Products,Pennsylvania,2015,World Total,"1,217,453,325"
111 Agricultural Products,Pennsylvania,2016,World Total,"1,344,747,900"
111 Agricultural Products,Pennsylvania,2017,World Total,"1,273,546,499"
111 Agricultural Products,Pennsylvania,2018,World Total,"1,341,844,922"
111 Agricultural Products,Puerto Rico,2014,World Total,"144,899,801"
111 Agricultural Products,Puerto Rico,2015,World Total,"175,799,331"
111 Agricultural Products,Puerto Rico,2016,World Total,"154,146,728"
111 Agricultural Products,Puerto Rico,2017,World Total,"171,991,375"
111 Agricultural Products,Puerto Rico,2018,World Total,"215,124,820"
111 Agricultural Products,Rhode Island,2014,World Total,"12,136,113"
111 Agricultural Products,Rhode Island,2015,World Total,"13,376,960"
111 Agricultural Products,Rhode Island,2016,World Total,"16,712,318"
111 Agricultural Products,Rhode Island,2017,World Total,"11,183,616"
111 Agricultural Products,Rhode Island,2018,World Total,"9,684,463"
111 Agricultural Products,South Carolina,2014,World Total,"352,174,597"
111 Agricultural Products,South Carolina,2015,World Total,"401,246,331"
111 Agricultural Products,South Carolina,2016,World Total,"367,058,695"
