state,time,import_2018,export_2018,total_trade_activity,trade_balance
Alabama,2018,26.2,21.3,47.6,-4.9
Alaska,2018,1.9,4.8,6.7,2.9
Arizona,2018,22.5,22.4,44.8,-0.1
Arkansas,2018,11.5,6.5,18.0,-5.1
California,2018,441.2,178.4,619.6,-262.8
Colorado,2018,13.5,8.3,21.8,-5.2
Connecticut,2018,19.9,17.4,37.3,-2.5
Delaware,2018,8.9,4.7,13.6,-4.2
Dist of Columbia,2018,0.8,2.7,3.5,2.0
Florida,2018,80.6,57.2,137.9,-23.4
Georgia,2018,98.8,40.6,139.3,-58.2
Hawaii,2018,4.5,0.6,5.2,-3.9
Idaho,2018,6.9,4.0,10.9,-2.9
Illinois,2018,157.4,65.4,222.8,-92.0
Indiana,2018,61.8,39.3,101.1,-22.4
Iowa,2018,10.7,14.3,25.0,3.6
Kansas,2018,12.3,11.6,23.9,-0.7
Kentucky,2018,54.6,31.8,86.3,-22.8
Louisiana,2018,40.0,66.2,106.2,26.2
Maine,2018,3.8,2.8,6.7,-1.0
Maryland,2018,35.2,12.1,47.2,-23.1
Massachusetts,2018,35.5,27.1,62.6,-8.3
Michigan,2018,146.8,57.9,204.8,-88.9
Minnesota,2018,32.8,22.7,55.5,-10.1
Mississippi,2018,16.7,11.8,28.5,-4.9
Missouri,2018,20.7,14.5,35.2,-6.2
Montana,2018,4.7,1.7,6.4,-3.0
Nebraska,2018,4.5,7.9,12.4,3.5
Nevada,2018,11.8,11.1,22.9,-0.7
New Hampshire,2018,12.5,5.3,17.8,-7.2
New Jersey,2018,128.0,35.7,163.7,-92.3
New Mexico,2018,2.6,3.7,6.3,1.0
New York,2018,137.1,81.5,218.6,-55.6
North Carolina,2018,53.4,32.7,86.2,-20.7
North Dakota,2018,3.4,6.8,10.2,3.4
Ohio,2018,70.2,54.3,124.5,-15.9
Oklahoma,2018,11.3,6.1,17.4,-5.2
Oregon,2018,20.1,22.3,42.4,2.2
Pennsylvania,2018,88.6,41.0,129.6,-47.5
Puerto Rico,2018,27.7,18.1,45.9,-9.6
Rhode Island,2018,10.5,2.4,12.9,-8.1
South Carolina,2018,40.2,34.6,74.8,-5.6
South Dakota,2018,1.1,1.4,2.6,0.3
Tennessee,2018,86.2,32.7,118.9,-53.5
Texas,2018,304.6,315.4,620.1,10.8
US Virgin Islands,2018,1.5,0.7,2.2,-0.8
Utah,2018,15.1,14.4,29.5,-0.8
Vermont,2018,3.4,2.9,6.3,-0.5
Virginia,2018,29.5,18.4,47.8,-11.1
Washington,2018,54.4,77.7,132.1,23.3
West Virginia,2018,3.4,8.1,11.6,4.7
Wisconsin,2018,31.0,22.7,53.7,-8.3
Wyoming,2018,1.1,1.4,2.4,0.3
,,,,,
,,,,,
